Name of Building/Facility,Name of Trail,路徑名稱,Latitude Decimal Degree(DD.DDD),Longitude Decimal Degree(DD.DDD)
W137,Wilson Trail,衞奕信徑,22.51374,114.2093
C1101,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.25728,113.98116
C1102,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.25838,113.97759
C1103,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.2568,113.97522
C1104,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.25427,113.97385
C1105,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.25252,113.971
C1106,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.25039,113.96858
C1107,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24957,113.96478
C1108,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.25124,113.96164
C1109,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24892,113.95865
C1110,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24763,113.95549
C1111,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24492,113.95317
C1112,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24489,113.94993
C1113,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24779,113.94774
C1114,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.2485,113.94321
C1115,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24582,113.9409
C1116,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.24301,113.94046
C1117,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.23944,113.93904
C1118,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.2367,113.93636
C1119,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.23655,113.93424
C1120,SOUTH LANTAU COUNTRY TRAIL,南大嶼郊遊徑,22.23212,113.93118
C1201,WONG LUNG HANG COUNTRY TRAIL,黃龍坑郊遊徑,22.26835,113.95318
C1202,WONG LUNG HANG COUNTRY TRAIL,黃龍坑郊遊徑,22.2658,113.95274
C1203,WONG LUNG HANG COUNTRY TRAIL,黃龍坑郊遊徑,22.26263,113.95415
C1204,WONG LUNG HANG COUNTRY TRAIL,黃龍坑郊遊徑,22.26002,113.95869
C1301,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.2102,113.86605
C1302,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.21422,113.86464
C1303,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.21661,113.86703
C1304,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.21852,113.86994
C1305,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.21939,113.87451
C1306,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.22312,113.87577
C1307,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.22729,113.87665
C1308,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.23065,113.87445
C1309,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.23132,113.87059
C1310,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.23319,113.86709
C1311,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.2357,113.87022
C1312,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.23954,113.87005
C1313,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.24101,113.87328
C1314,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.23853,113.87553
C1315,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.24089,113.87732
C1316,KEUNG SHAN COUNTRY TRAIL,羗山郊遊徑,22.24124,113.88176
C1401,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23631,113.9859
C1402,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23446,113.98385
C1403,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23089,113.98166
C1404,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22835,113.98067
C1405,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22654,113.98281
C1406,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22685,113.98652
C1407,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22392,113.98626
C1408,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.21987,113.98454
C1409,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.21807,113.982
C1410,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.2173,113.9852
C1411,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.21856,113.9887
C1412,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22031,113.99092
C1413,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22254,113.99106
C1414,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.2236,113.99313
C1415,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22399,113.9953
C1416,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22669,113.99825
C1417,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22702,114.0004
C1418,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.2273,114.00196
C1419,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22336,114.00152
C1420,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22173,114.00204
C1421,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.21933,114.00283
C1422,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22213,114.00719
C1423,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22543,114.0083
C1424,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.2278,114.00723
C1425,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23056,114.00564
C1426,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22898,114.00193
C1427,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23032,113.99801
C1428,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23327,113.99995
C1429,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23292,113.99742
C1430,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23014,113.99574
C1431,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22709,113.99384
C1432,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22741,113.99036
C1433,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.22925,113.98653
C1434,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23174,113.98541
C1435,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23482,113.98818
C1436,CHI MA WAN COUNTRY TRAIL,芝麻灣郊遊徑,22.23852,113.98778
C1501,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.24918,113.9121
C1502,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.24575,113.91145
C1503,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.24327,113.91044
C1504,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.24105,113.90845
C1505,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.23865,113.90553
C1506,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.23769,113.90861
C1507,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.23647,113.90765
C1508,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.23369,113.90818
C1509,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.23093,113.90959
C1510,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.22977,113.90593
C1511,SHEK PIK COUNTRY TRAIL,石壁郊遊徑,22.22699,113.90428
C1601,FAN LAU COUNTRY TRAIL,分流郊遊徑,22.2024,113.85414
C1602,FAN LAU COUNTRY TRAIL,分流郊遊徑,22.19773,113.85192
C1603,FAN LAU COUNTRY TRAIL,分流郊遊徑,22.19907,113.8493
C1604,FAN LAU COUNTRY TRAIL,分流郊遊徑,22.20258,113.84904
C1701,TEI TONG TSAI COUNTRY TRAIL,地塘仔郊遊徑,22.25434,113.93796
C1702,TEI TONG TSAI COUNTRY TRAIL,地塘仔郊遊徑,22.25611,113.93545
C1703,TEI TONG TSAI COUNTRY TRAIL,地塘仔郊遊徑,22.2582,113.93226
C1704,TEI TONG TSAI COUNTRY TRAIL,地塘仔郊遊徑,22.25895,113.9284
C1801,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.25728,113.91205
C1802,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.25905,113.90793
C1803,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.26159,113.90601
C1804,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.26685,113.90681
C1805,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.26908,113.90886
C1806,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.27009,113.91252
C1807,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.26693,113.91423
C1808,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.26338,113.91576
C1809,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.26045,113.91534
C1810,NEI LAK SHAN COUNTRY TRAIL,彌勒山郊遊徑,22.25689,113.91425
C2101,HOK TAU COUNTRY TRAIL,鶴藪郊遊徑,22.50654,114.17201
C2102,HOK TAU COUNTRY TRAIL,鶴藪郊遊徑,22.50895,114.17527
C2103,HOK TAU COUNTRY TRAIL,鶴藪郊遊徑,22.50879,114.17702
C2104,HOK TAU COUNTRY TRAIL,鶴藪郊遊徑,22.50487,114.17664
C2105,HOK TAU COUNTRY TRAIL,鶴藪郊遊徑,22.50412,114.17347
C2201,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.49344,114.17191
C2202,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.49121,114.1747
C2203,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.48791,114.17314
C2204,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.48435,114.17147
C2205,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.48669,114.16933
C2206,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.48576,114.16577
C2207,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.48805,114.16563
C2208,LAU SHUI HEUNG COUNTRY TRAIL,流水響郊遊徑,22.49246,114.16764
C2301,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54433,114.43269
C2302,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54181,114.43539
C2303,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54137,114.44087
C2304,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.53861,114.43928
C2305,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.53855,114.43518
C2306,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54028,114.43119
C2307,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.542,114.42735
C2308,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54559,114.4261
C2309,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54916,114.42573
C2310,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.55191,114.42814
C2311,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.55201,114.43032
C2312,PING CHAU COUNTRY TRAIL,平洲環島郊遊徑,22.54813,114.43024
C2401,WU KAU TANG COUNTRY TRAIL,烏蛟騰郊遊徑,22.51355,114.24362
C2402,WU KAU TANG COUNTRY TRAIL,烏蛟騰郊遊徑,22.5158,114.24165
C2403,WU KAU TANG COUNTRY TRAIL,烏蛟騰郊遊徑,22.51728,114.239
C2404,WU KAU TANG COUNTRY TRAIL,烏蛟騰郊遊徑,22.51538,114.23535
C2501,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.51398,114.20561
C2502,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.51051,114.20502
C2503,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50722,114.20433
C2504,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50836,114.2004
C2505,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50772,114.19641
C2506,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50413,114.19545
C2507,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50179,114.19249
C2508,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50525,114.18972
C2509,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.50858,114.18795
C2510,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.51045,114.18453
C2511,NAM CHUNG COUNTRY TRAIL,南涌郊遊徑,22.5107,114.18128
C2601,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.50186,114.24316
C2602,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49881,114.24647
C2603,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49498,114.24892
C2604,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49333,114.25254
C2605,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49291,114.25726
C2606,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49284,114.26171
C2607,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.4939,114.26529
C2608,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49537,114.26789
C2609,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49613,114.27186
C2610,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49715,114.27712
C2611,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49798,114.28106
C2612,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49659,114.28627
C2613,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49406,114.29027
C2614,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.49134,114.2935
C2615,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.48783,114.29404
C2616,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.48389,114.29241
C2617,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.4798,114.28938
C2618,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.47701,114.28657
C2619,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.47388,114.2828
C2620,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.47293,114.27924
C2621,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.47283,114.27495
C2622,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.47295,114.27087
C2623,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.4712,114.26744
C2624,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.46874,114.26426
C2625,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.46618,114.26549
C2626,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.46313,114.26324
C2627,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.4605,114.26075
C2628,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.45634,114.25885
C2629,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.45676,114.2551
C2630,PLOVER COVE RESERVOIR COUNTRY TRAIL,船灣淡水湖郊遊徑,22.45831,114.25256
C2701,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.5038,114.24535
C2702,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.50337,114.24924
C2703,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.5046,114.25335
C2704,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.50337,114.25736
C2705,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.50267,114.26147
C2706,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.5032,114.26535
C2707,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.50454,114.26883
C2708,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.50736,114.27105
C2709,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.51137,114.27197
C2710,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.51393,114.27205
C2711,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.51738,114.27058
C2712,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.51902,114.26763
C2713,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52171,114.26483
C2714,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.5255,114.26381
C2715,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52647,114.26144
C2716,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52981,114.26277
C2717,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52072,114.27192
C2718,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52234,114.27453
C2719,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52196,114.27738
C2720,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52178,114.28089
C2721,DOUBLE HAVEN COUNTRY TRAIL,印洲塘郊遊徑,22.52364,114.28461
C3101,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.31348,114.28107
C3102,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.30822,114.28156
C3103,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.30665,114.28151
C3104,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.30095,114.28108
C3105,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.29692,114.28346
C3106,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.29344,114.28475
C3107,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.28903,114.28247
C3108,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.28541,114.28373
C3109,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.2827,114.2856
C3110,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.27836,114.28484
C3111,HIGH JUNK PEAK COUNTRY TRAIL,釣魚翁郊遊徑,22.27416,114.28851
C3201,LUNG HA WAN COUNTRY TRAIL,龍蝦灣郊遊徑,22.297,114.30227
C3202,LUNG HA WAN COUNTRY TRAIL,龍蝦灣郊遊徑,22.29889,114.3049
C3203,LUNG HA WAN COUNTRY TRAIL,龍蝦灣郊遊徑,22.30317,114.30373
C3204,LUNG HA WAN COUNTRY TRAIL,龍蝦灣郊遊徑,22.30596,114.30252
C3301,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.40456,114.23954
C3302,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.40319,114.24458
C3303,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.40114,114.24575
C3304,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.3991,114.2478
C3305,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.39508,114.2507
C3306,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.3911,114.25216
C3307,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.38745,114.25421
C3308,MA ON SHAN COUNTRY TRAIL,馬鞍山郊遊徑,22.38542,114.25846
C3401,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.39317,114.12062
C3402,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.39456,114.12373
C3403,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.39141,114.12558
C3404,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.38913,114.1281
C3405,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.38795,114.13123
C3406,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.38932,114.1343
C3407,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.39216,114.13656
C3408,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.39114,114.14019
C3409,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.38764,114.14222
C3410,LUNG MUN COUNTRY TRAIL,龍門郊遊徑,22.38676,114.14449
C4101,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.25488,114.19498
C4102,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.25236,114.19716
C4103,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.25021,114.19968
C4104,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.2537,114.19961
C4105,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.25656,114.19786
C4106,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.25939,114.19664
C4107,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.26104,114.19471
C4108,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.26217,114.19272
C4109,TAI TAM COUNTRY TRAIL,大潭郊遊徑,22.25834,114.19513
C4201,POTTINGER PEAK COUNTRY TRAIL,砵甸乍山郊遊徑,22.25412,114.24347
C4202,POTTINGER PEAK COUNTRY TRAIL,砵甸乍山郊遊徑,22.25335,114.24722
C4203,POTTINGER PEAK COUNTRY TRAIL,砵甸乍山郊遊徑,22.2543,114.25083
C4301,HONG PAK COUNTRY TRAIL,康柏郊遊徑,22.27205,114.21267
C4302,HONG PAK COUNTRY TRAIL,康柏郊遊徑,22.26968,114.21378
C4303,HONG PAK COUNTRY TRAIL,康柏郊遊徑,22.27106,114.21674
C4304,HONG PAK COUNTRY TRAIL,康柏郊遊徑,22.27395,114.21777
C4305,HONG PAK COUNTRY TRAIL,康柏郊遊徑,22.27692,114.21765
C4306,HONG PAK COUNTRY TRAIL,康柏郊遊徑,22.27867,114.21542
C5101,PAK TAM COUNTRY TRAIL,北潭郊遊徑,22.41615,114.33109
C5102,PAK TAM COUNTRY TRAIL,北潭郊遊徑,22.41266,114.33
C5103,PAK TAM COUNTRY TRAIL,北潭郊遊徑,22.40919,114.32782
C5201,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.4371,114.32298
C5202,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.43658,114.31908
C5203,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.43425,114.31622
C5204,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.43088,114.31426
C5205,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.4287,114.31111
C5206,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.42879,114.30635
C5207,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.4296,114.30251
C5208,CHEUNG SHEUNG COUNTRY TRAIL,嶂上郊遊徑,22.42874,114.29836
C5301,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.39909,114.35853
C5302,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40229,114.35876
C5303,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40543,114.35612
C5304,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40593,114.35234
C5305,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40774,114.34865
C5306,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40869,114.34412
C5307,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40812,114.33929
C5308,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40884,114.33528
C5309,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40973,114.33148
C5310,LUK WU COUNTRY TRAIL,鹿湖郊遊徑,22.40791,114.32801
C5401,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.43951,114.32894
C5402,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.43988,114.3322
C5403,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.44112,114.33703
C5404,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.44186,114.3394
C5405,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.44524,114.34123
C5406,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.44802,114.33818
C5407,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.4518,114.33708
C5408,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.45338,114.3346
C5409,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.45547,114.33525
C5410,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.45865,114.33743
C5411,TAI TAN COUNTRY TRAIL,大灘郊遊徑,22.46278,114.33738
C5501,SHEUNG YIU COUNTRY TRAIL,上窰郊遊徑,22.3875,114.32291
C5502,SHEUNG YIU COUNTRY TRAIL,上窰郊遊徑,22.38605,114.32631
C5503,SHEUNG YIU COUNTRY TRAIL,上窰郊遊徑,22.38434,114.32662
C5504,SHEUNG YIU COUNTRY TRAIL,上窰郊遊徑,22.38132,114.32819
C5505,SHEUNG YIU COUNTRY TRAIL,上窰郊遊徑,22.38073,114.33111
C5506,SHEUNG YIU COUNTRY TRAIL,上窰郊遊徑,22.38102,114.33417
C6101,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.37789,114.0936
C6102,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.37829,114.08951
C6103,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38022,114.08572
C6104,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38339,114.08436
C6105,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38633,114.08137
C6106,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38713,114.07747
C6107,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38847,114.07401
C6108,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38715,114.07084
C6109,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38718,114.06803
C6110,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.39045,114.06579
C6111,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38777,114.06189
C6112,YUEN TSUEN ANCIENT TRAIL,元荃古道,22.38498,114.06062
